file,slice,label
file1000000,14,1
file1000000,15,1
file1000000,15,1
file1000000,16,1
file1000000,18,1
file1000000,19,1
file1000000,20,1
file1000000,20,1
file1000000,21,1
file1000000,21,1
file1000000,22,1
file1000000,23,1
file1000000,23,1
file1000000,23,1
file1000000,24,1
file1000000,25,1
file1000000,26,1
file1000000,27,1
file1000000,28,1
file1000001,34,1
file1000001,35,1
file1000001,9,1
file1000001,10,1
file1000001,11,1
file1000001,12,1
file1000001,13,1
file1000001,14,1
file1000001,18,1
file1000001,18,1
file1000001,19,1
file1000001,19,1
file1000001,19,1
file1000001,20,1
file1000001,20,1
file1000001,20,1
file1000001,20,1
file1000001,21,1
file1000001,21,1
file1000001,21,1
file1000001,21,1
file1000002,22,1
file1000002,22,1
file1000002,22,1
file1000002,22,1
file1000002,22,1
file1000002,23,1
file1000002,23,1
file1000002,23,1
file1000002,23,1
file1000002,23,1
file1000002,24,1
file1000002,24,1
file1000002,24,1
file1000002,24,1
file1000002,24,1
file1000002,24,1
file1000002,25,1
file1000002,25,1
file1000002,25,1
file1000002,25,1
file1000002,26,1
file1000002,26,1
file1000002,27,1
file1000002,27,1
file1000002,27,1
file1000002,28,1
file1000002,28,1
file1000002,28,1
file1000002,29,1
file1000002,10,1
file1000002,11,1
file1000002,12,1
file1000002,13,1
file1000002,14,1
file1000002,15,1
file1000002,16,1
file1000002,16,1
file1000002,17,1
file1000002,18,1
file1000002,19,1
file1000002,19,1
file1000002,20,1
file1000002,21,1
file1000002,21,1
file1000002,21,1
file1000002,22,1
file1000002,22,1
file1000002,22,1
file1000003,22,1
file1000003,23,1
file1000003,23,1
file1000003,23,1
file1000003,24,1
file1000003,24,1
file1000003,25,1
file1000003,25,1
file1000003,26,1
file1000003,26,1
file1000003,26,1
file1000003,27,1
file1000003,27,1
file1000003,33,1
file1000003,34,1
file1000003,35,1
file1000003,36,1
file1000003,37,1
file1000003,38,1
file1000003,21,1
file1000003,21,1
file1000003,22,1
file1000003,23,1
file1000003,24,1
file1000003,11,1
file1000003,11,1
file1000003,13,1
file1000003,13,1
file1000003,14,1
file1000003,15,1
file1000003,16,1
file1000003,18,1
file1000003,18,1
file1000003,19,1
file1000003,20,1
file1000003,20,1
file1000003,21,1
file1000003,22,1
file1000005,23,1
file1000005,23,1
file1000005,24,1
file1000005,25,1
file1000005,26,1
file1000007,19,1
file1000007,19,1
file1000007,20,1
file1000007,21,1
file1000007,22,1
file1000007,22,1
file1000007,16,1
file1000007,17,1
file1000007,18,1
file1000007,18,1
file1000007,18,1
file1000007,18,1
file1000007,19,1
file1000007,19,1
file1000007,19,1
file1000007,19,1
file1000007,19,1
file1000007,20,1
file1000007,20,1
file1000007,20,1
file1000007,20,1
file1000007,21,1
file1000007,21,1
file1000007,21,1
file1000007,21,1
file1000007,22,1
file1000007,22,1
file1000007,22,1
file1000007,23,1
file1000010,23,1
file1000010,23,1
file1000010,24,1
file1000010,24,1
file1000010,24,1
file1000010,24,1
file1000010,25,1
file1000010,25,1
file1000010,26,1
file1000010,26,1
file1000010,27,1
file1000010,28,1
file1000010,33,1
file1000010,34,1
file1000010,35,1
file1000010,19,1
file1000010,20,1
file1000010,5,1
file1000010,6,1
file1000012,7,1
file1000012,8,1
file1000012,23,1
file1000012,9,1
file1000012,10,1
file1000012,12,1
file1000015,13,1
file1000015,14,1
file1000015,20,1
file1000015,20,1
file1000015,20,1
file1000015,21,1
file1000015,22,1
file1000015,23,1
file1000015,24,1
file1000015,25,1
file1000015,15,1
file1000015,16,1
file1000015,17,1
file1000015,17,1
file1000015,18,1
file1000015,18,1
file1000015,18,1
file1000015,19,1
file1000015,19,1
file1000015,19,1
file1000015,20,1
file1000015,20,1
file1000015,21,1
file1000015,21,1
file1000015,22,1
file1000015,16,1
file1000015,18,1
file1000015,18,1
file1000015,17,1
file1000015,19,1
file1000015,19,1
file1000015,19,1
file1000015,20,1
file1000015,21,1
file1000015,21,1
file1000015,22,1
file1000015,19,1
file1000015,20,1
file1000017,21,1
file1000017,22,1
file1000017,23,1
file1000017,23,1
file1000017,24,1
file1000017,33,1
file1000017,34,1
file1000017,35,1
file1000017,36,1
file1000017,11,1
file1000017,12,1
file1000021,12,1
file1000021,16,1
file1000023,17,1
file1000023,17,1
file1000023,18,1
file1000023,18,1
file1000023,19,1
file1000026,19,1
file1000026,19,1
file1000026,20,1
file1000026,20,1
file1000026,20,1
file1000026,20,1
file1000026,21,1
file1000026,21,1
file1000026,22,1
file1000026,22,1
file1000026,23,1
file1000026,23,1
file1000026,24,1
file1000026,24,1
file1000026,24,1
file1000026,24,1
file1000026,25,1
file1000026,25,1
file1000026,26,1
file1000026,26,1
file1000026,27,1
file1000026,27,1
file1000026,28,1
file1000026,28,1
file1000027,13,1
file1000027,15,1
file1000027,16,1
file1000027,18,1
file1000027,19,1
file1000027,20,1
file1000027,21,1
file1000027,21,1
file1000027,21,1
file1000027,21,1
file1000027,22,1
file1000027,22,1
file1000027,22,1
file1000029,23,1
file1000029,23,1
file1000029,24,1
file1000029,26,1
file1000029,27,1
file1000029,28,1
file1000029,18,1
file1000029,19,1
file1000029,19,1
file1000029,20,1
file1000029,21,1
file1000029,22,1
